Mes,IPeCo,Índice Coyuntural,Índice Expectativas,Situación Enconómica Actual,Desempleo Actual,Situación Económica Futura,Desempleo Futuro,Ingreso Futuro,IPeCo (T.M.)
2001-12-01,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
2002-03-01,102.15,98.57,103.70,102.30,93.43,100.32,100.44,109.14,
2002-06-01,108.16,86.22,116.39,105.32,48.78,113.80,128.51,111.21,103.44
2002-09-01,101.68,106.01,100.34,113.55,93.15,109.55,80.43,103.96,104.00
2002-12-01,100.38,84.32,106.45,86.19,82.68,106.64,113.49,101.75,103.40
2003-03-01,89.45,102.80,84.80,90.21,131.72,84.29,73.44,92.58,97.17
2003-06-01,113.64,120.76,111.32,111.15,143.98,104.48,127.00,108.04,101.15
2003-09-01,114.39,123.62,111.30,109.86,155.55,107.60,127.87,104.36,105.83
2003-12-01,117.91,140.20,110.08,109.84,207.09,103.71,136.49,99.48,115.31
2004-03-01,144.01,196.99,125.07,148.92,302.23,115.32,162.46,110.79,125.44
2004-06-01,122.38,143.60,114.95,116.89,202.99,109.29,132.08,109.57,128.10
2004-09-01,109.68,116.60,107.42,108.39,136.76,106.31,114.79,103.81,125.35
2004-12-01,130.87,150.96,123.88,129.56,199.49,116.87,151.44,113.16,120.98
2005-03-01,128.88,154.36,119.91,130.96,207.14,114.97,137.48,113.56,123.14
2005-05-01,128.96,159.91,118.00,131.44,223.40,110.39,140.81,110.94,129.57
2005-06-01,130.40,149.79,123.65,125.04,205.27,117.45,142.98,117.42,129.41
2005-07-01,118.24,138.77,111.05,109.16,204.06,105.75,126.64,106.33,125.87
2005-08-01,129.65,164.96,117.11,130.24,241.57,111.26,138.52,109.20,126.10
2005-09-01,133.64,177.37,118.05,140.36,259.07,115.03,130.80,112.88,127.18
2005-10-01,134.14,182.75,116.77,148.40,259.07,113.88,136.79,106.81,132.48
2005-11-01,135.87,182.58,119.19,152.47,250.06,114.39,145.49,107.11,134.55
2005-12-01,135.65,181.09,119.43,149.63,251.37,114.88,142.17,109.38,135.22
2006-01-01,136.47,190.48,117.15,164.08,250.46,119.20,128.68,107.72,135.99
2006-02-01,142.92,191.70,125.51,147.08,289.61,120.24,151.63,113.99,138.34
2006-03-01,141.50,186.02,125.63,156.69,252.00,114.80,153.35,118.61,140.29
2006-04-01,141.85,197.81,121.83,171.12,258.60,123.03,131.34,114.53,142.09
2006-05-01,139.61,177.79,126.05,144.70,251.36,121.64,144.52,118.58,140.99
2006-06-01,115.73,147.38,104.49,119.95,208.36,100.84,119.80,98.30,132.40
2006-07-01,118.76,148.52,108.21,141.28,167.53,109.23,114.41,103.23,124.70
2006-08-01,124.23,154.55,113.49,139.10,190.81,109.70,121.93,111.84,119.57
2006-09-01,124.28,157.64,112.44,139.40,199.77,113.02,113.43,111.23,122.42
2006-10-01,122.63,147.59,113.84,117.94,213.21,113.50,128.60,104.73,123.71
2006-11-01,118.16,154.22,105.32,126.15,216.73,113.65,119.12,88.23,121.69
2006-12-01,136.69,196.08,115.41,154.38,288.06,111.63,145.27,100.04,125.83
2007-01-01,131.25,183.03,112.72,152.50,251.40,117.64,115.62,106.00,128.70
2007-02-01,121.73,172.30,103.63,149.74,223.80,103.16,114.21,97.31,129.89
2007-03-01,130.01,171.47,115.24,139.60,242.35,109.54,129.40,111.82,127.67
2007-04-01,135.42,175.76,121.07,143.26,248.05,113.93,135.11,119.15,129.06
2007-05-01,120.60,154.93,108.39,136.51,197.37,105.15,109.15,111.12,128.68
