periodo,year,month,ipeco,seactual,dactual,sefuturo,dfuturo,ifuturo,ctotal,cdurables,cnodurables,cservicios,imacec,ipv,remuneraciones,gndi,ipsa,tpromedio,tmenos6meses,t6a12meses,t1a3anos,tmas3anos,desempleo,ipec,tcn,ipc
2001-12-01,2001,12,56.4465028,50.3225806,24.1887388,77.8145695,50.2857143,78.490566,11682.16852,513.8846845,5402.97738,5932.277072,64.20148503,,45.42673661,17836.11895,1183.12,,,,,,8.6,,669.1378947,102.3163059
2002-01-01,2002,1,,,,,,,,,,,59.67160093,,45.71867066,,1153.01,31.03062626,37.25,34.02,29.65,29.38,8.8,,667.2818182,102.2139896
2002-02-01,2002,2,,,,,,,,,,,55.80326416,,45.84725944,,1144.39,30.92611048,37.38,32.9,29.63,28.93,9.1,,678.835,102.2139896
2002-03-01,2002,3,57.66283304,51.48148145,22.60061917,78.06267806,50.50505053,85.66433561,10721.47288,385.9688212,5007.707936,5545.410122,63.00203016,79.85047739,45.80575597,17559.76044,1163.6,26.00502333,37.11,27.01,23.39,25.37,9.6,37.3,663.264,102.7250596
2002-04-01,2002,4,,,,,,,,,,,61.26497384,,45.63919283,,1137.83,27.97852781,36.2,29.34,25.99,27.05,9.6,36.3,650.8209524,103.1359598
2002-05-01,2002,5,,,,,,,,,,,60.2678467,,45.68908321,,1099.65,29.30150698,33.85,30.95,27.15,28.51,9.9,38.23,653.9065,103.2390958
2002-06-01,2002,6,61.05200006,52.99999994,11.79999999,88.54999995,64.62000001,87.28999995,11044.95843,446.0750001,4909.765091,5899.320124,58.92003635,82.89807712,45.87818736,17484.70578,1031.96,28.87851437,32.74,30.23,27.27,28.24,10.3,37.03,673.766,103.1358567
2002-07-01,2002,7,,,,,,,,,,,59.80626833,,45.7377163,,1039.55,27.96949882,32.31,29.86,25.71,27.58,10.3,36.52,696.3343478,103.5484001
2002-08-01,2002,8,,,,,,,,,,,58.8173514,,45.63451056,,1022.35,27.41729228,33.44,28,25.15,25.59,10.5,35.54,702.3047619,103.9625937
2002-09-01,2002,9,57.39269729,57.14285712,22.53164555,85.24590158,40.44585988,81.59722221,11163.29531,469.6852282,4901.661772,5995.273752,58.30428468,84.11431494,45.46569174,17183.39459,927.39,25.85310591,32.65,26.2,23.1,23.64,10.6,35.77,726.9789474,104.7942945
2002-10-01,2002,10,,,,,,,,,,,61.53885943,,45.12230232,,958.51,23.39918464,30.37,19.58,19.02,23.31,10.5,35.48,742.3173913,105.7374431
2002-11-01,2002,11,,,,,,,,,,,62.38563443,,45.27634455,,960.31,24.47985012,29.79,25.8,21.27,24.25,9.7,35.56,709.4765,105.6317057
2002-12-01,2002,12,56.65885325,43.37349394,19.99999998,82.98429318,57.0707071,79.86577174,11971.93861,557.7983758,5542.340278,6016.469049,67.18020184,84.19298718,45.9630946,18469.39197,1000,26.03061528,31.69,27.85,23.92,25.33,8.7,42.91,701.949,105.2091788
2003-01-01,2003,1,,,,,,,,,,,62.18981085,,46.14078316,,1001.99,28.57704709,31.56,29.46,25.76,27.6,8.5,43.9,722.4777273,105.314388
2003-02-01,2003,2,,,,,,,,,,,58.69952208,,45.92935234,,1014.94,28.93042412,31.41,28.99,26.81,28.72,8.8,39.4,745.2135,106.1569031
2003-03-01,2003,3,50.48916216,45.39682536,31.86046508,65.59139781,36.93045564,72.66666664,11040.51079,428.1588727,5141.015684,5673.205849,65.7894906,83.3005161,45.5478616,18307.79791,1009.13,25.59177698,31.63,26.46,22.05,25.27,9.2,34.4,743.2833333,107.430786
2003-04-01,2003,4,,,,,,,,,,,63.63039003,,45.57304388,,1163.96,27.3376075,30.93,28.71,24.48,27.63,9.6,39.9,718.2533333,107.3233552
2003-05-01,2003,5,,,,,,,,,,,63.02352998,,45.75094487,,1231.01,27.37894751,28.39,29.54,25.4,27.76,9.8,43.9,703.58,106.8940618
2003-06-01,2003,6,64.14554528,55.93220331,34.82688389,81.30434782,63.86036963,84.80392155,11503.21196,485.2696847,5091.981375,6128.451683,61.48064373,84.38298598,45.85853388,18351.5145,1228.12,26.7396647,27.51,28.31,24.54,27.2,10.1,41.6,709.1845,106.8940618
2003-07-01,2003,7,,,,,,,,,,,62.44208131,,46.02752026,,1321.38,26.65535793,30.6,28.62,23.57,26.75,10.1,40.7,701.1404348,106.7871677
2003-08-01,2003,8,,,,,,,,,,,60.95326476,,46.05336706,,1369.62,26.39319463,32.33,28.64,22.71,25.71,10.4,42.4,703.7725,107.000742
2003-09-01,2003,9,64.57044385,55.28255525,37.62575448,83.72641508,64.3026005,81.91489355,11641.12823,504.2594016,5137.152666,6195.736919,60.6015424,84.5564083,46.06871138,17625.55453,1430.49,25.6341045,32.49,28.43,20.87,25.28,10.4,45.6,675.442,107.2147435
2003-10-01,2003,10,,,,,,,,,,,63.86996861,,46.22245183,,1515.96,25.58666566,31.93,29.15,20.98,25.76,9.9,48,646.0695652,107.000314
2003-11-01,2003,11,,,,,,,,,,,64.51571815,,46.48474283,,1458.34,26.72411563,32.52,29.03,21.68,26.69,9.1,47.8,625.467,106.6793131
2003-12-01,2003,12,66.55608031,55.27522929,50.09276432,80.69815194,68.6354379,78.07881769,12746.88799,627.5791654,5857.941042,6397.340702,69.50676623,86.8156157,46.99019899,19188.64154,1484.8,25.23859676,31.88,28.31,20.3,26.01,8.5,50.1,602.9045,106.3592752
2004-01-01,2004,1,,,,,,,,,,,64.62695209,,47.2804236,,1408.86,25.12830727,22.22,26.78,21.15,26.83,8.4,53.9,573.6414286,106.1465566
2004-02-01,2004,2,,,,,,,,,,,61.38984412,,47.34749535,,1543.08,24.06440307,18.63,28.07,19.76,26.24,8.4,54,584.306,106.1465566
2004-03-01,2004,3,81.28595931,74.9391727,73.10469307,89.73384023,81.69556844,86.95652172,11808.55912,508.6364251,5520.189277,5955.590169,69.88304141,86.81689898,47.22566444,20014.78231,1458.9,21.07432898,19.59,27.37,16.3,22.21,9.2,52.2,603.9121739,106.5711428
2004-04-01,2004,4,,,,,,,,,,,67.51921812,,47.07334274,,1430.6,22.85065073,20.56,27.05,17.04,23.54,9.9,48.1,608.1871429,106.9974274
2004-05-01,2004,5,,,,,,,,,,,66.97086404,,46.81877552,,1428.8,23.68389252,22.36,27.63,18.6,23.54,10.7,47.1,635.7575,107.5324145
2004-06-01,2004,6,69.07805457,58.82352935,49.10071939,85.04672897,66.41929503,85.99999996,12452.86638,624.9223578,5469.317572,6511.720101,65.46541478,87.98564921,46.78442399,20177.68079,1482.98,24.20248307,22.48,27.78,19.6,24.68,10.9,46.4,643.4965,107.9625442
2004-07-01,2004,7,,,,,,,,,,,67.15726645,,46.75685385,,1520.85,23.53943672,23.68,27.35,18.94,22.83,11,45.3,632.3936364,108.1784693
2004-08-01,2004,8,,,,,,,,,,,66.21886774,,46.57561385,,1631.41,23.21621491,23.18,27.3,18.8,22.19,11.2,47.4,635.9318182,108.6111832
2004-09-01,2004,9,61.91063626,54.5454545,33.08128541,82.72138226,57.72357724,81.48148143,12662.79848,647.5685626,5518.994039,6647.075661,65.70996452,89.69234159,46.7507238,19585.88307,1707.02,22.8615077,23.65,27.62,18.58,21.58,11.1,45.3,616.5519048,108.7197943
2004-10-01,2004,10,,,,,,,,,,,69.64740922,,46.61089113,,1768.2,22.94667741,23.14,27.03,19.51,21.7,10.8,45.4,607.2785,109.0459537
2004-11-01,2004,11,,,,,,,,,,,70.55761905,,46.55659846,,1790.47,23.47705551,22.79,27.19,21.29,21.55,9.7,49.7,596.72,109.3730916
2004-12-01,2004,12,73.87390654,65.19916138,48.25462007,90.94202892,76.15384618,88.81987574,13892.72732,816.7145461,6260.387416,6895.417998,76.11105089,91.76806947,47.10553632,21737.17069,1796.48,23.40092787,22.69,25.57,21.95,22.49,8.9,49.6,576.17,108.9355992
2005-01-01,2005,1,,,,,,,,,,,69.43799023,,47.56494929,,1809.88,24.98603176,21.92,28.22,23.32,24.52,8.6,53,574.1195238,108.6087924
2005-02-01,2005,2,,,,,,,,,,,65.28068398,,47.93055097,,1895.2,26.28722292,22.27,28.65,25.48,26.45,8.8,52.8,573.584,108.5001836
2005-03-01,2005,3,72.74756868,65.90389013,50.10395007,89.46395557,69.13123845,89.13480878,12809.11864,617.4136488,5847.421539,6501.26999,73.58484749,90.09457262,47.99087949,21372.42845,1961.69,23.61562901,20.62,28.64,21.9,22.02,9.1,49.4,586.4827273,109.1511847
2005-04-01,2005,4,,,,,,,,,,,71.7629378,,47.73685478,,1956.98,25.32997625,24.32,29.23,23.66,23.57,9.4,48.1,580.4557143,110.1335454
2005-05-01,2005,5,72.79174377,66.1417322,54.03726702,85.89743589,70.80745345,87.07482992,,,,,70.49770445,,47.71801546,,1968.78,26.19735938,24.98,29.95,24.94,24.13,9.6,47.8,578.3090476,110.463946
2005-06-01,2005,6,73.60590797,62.92315646,49.65124219,91.39676481,71.89704662,92.1613295,13377.27346,733.9552175,5758.139163,7013.857627,69.49653192,92.01696508,47.74517427,22014.76957,2056.84,26.61379364,25.75,30.69,25.5,24.22,10.1,48.3,585.4733333,110.9058018
2005-07-01,2005,7,66.74435113,54.93438313,49.36063414,82.29000435,63.68101909,83.45571477,,,,,69.85132955,,47.7647396,,2175.06,26.31412772,26.34,30.38,25.23,23.78,10,48.8,575.7661905,111.5712366
2005-08-01,2005,8,73.184183,65.54054046,58.43373488,86.57718117,69.65517244,85.71428567,,,,,70.40315075,,47.76868892,,2086.25,26.38080421,26.02,30.67,25.47,23.59,10.1,50.8,546.6095455,111.9059503
2005-09-01,2005,9,75.43607609,70.63492059,62.66666662,89.51048946,65.7718121,88.5964912,13632.10388,797.6462638,5844.816482,7096.185868,69.16686202,92.84042905,47.53315511,21647.10058,2152.82,26.32455873,25.94,30.62,25.96,23.36,9.8,49.7,536.7004762,113.0250098
2005-10-01,2005,10,75.71570964,74.6793394,62.66666662,88.61538457,68.78391834,83.83323901,,,,,72.50788678,,47.45577371,,2072.64,24.77909788,25.04,30.36,22.94,20.82,9.4,49.6,535.497,113.5901349
2005-11-01,2005,11,76.69198809,76.72815533,60.48695647,89.01098894,73.16107676,84.07276254,,,,,74.71174574,,47.66198692,,2027.61,25.16444146,25.61,30.76,23.31,20.49,8.8,51.9,529.8814286,113.3629546
2005-12-01,2005,12,76.56723782,75.29540614,60.80298026,89.3963179,71.48951766,85.85196684,14914.19782,1003.11984,6618.572926,7336.528204,81.14498547,94.41289255,48.26087727,23801.06158,1964.47,25.75092996,26.52,31.2,24.26,21.12,7.9,54.5,514.3309524,113.0228658
2006-01-01,2006,1,77.03302002,82.56880725,60.58394156,92.75362314,64.70588238,84.55284546,,,,,73.3751053,,48.40628977,,2118.46,26.84010551,27.02,31.99,24.95,22.13,7.7,58.5,524.4768182,113.1358886
2006-02-01,2006,2,80.67203196,74.01574796,70.05347587,93.56725142,76.25000001,89.47368418,,,,,70.09111374,,48.63402707,,2166.84,28.08001067,28.43,32.41,26.06,24.43,7.8,57.5,525.7045,113.0227527
2006-03-01,2006,3,79.86958368,78.84942944,60.95487942,89.33337097,77.11331264,93.09692543,13802.05782,795.7320646,6216.157686,6894.913406,77.57529684,91.87305482,48.47882739,23065.74598,2181.96,25.2206299,27.58,31.42,22.94,21.26,8.4,59.3,528.7708696,113.7008892
2006-04-01,2006,4,80.06991858,86.1137438,62.552287,95.73873406,66.04583776,89.89898987,,,,,75.67731329,,48.43865734,,2201.56,26.81238125,27.85,32.07,25.09,22.94,8.6,55.6,517.3263158,114.3830946
2006-05-01,2006,5,78.80395064,72.81553393,60.79999994,94.65648849,72.67080749,93.07692305,,,,,75.91425614,,48.50921359,,2156.53,27.49968525,28.48,32.75,25.38,23.44,8.8,54.8,520.7940909,114.6118608
2006-06-01,2006,6,65.32445205,60.36036028,50.40009606,78.46539663,60.24038946,77.15601752,14404.72784,950.8789666,6172.994325,7345.856803,74.37726637,94.42932301,48.42413531,24481.5245,2126.02,27.54061454,29.12,33.02,25.11,23.28,8.9,48.2,542.46,115.2995319
2006-07-01,2006,7,67.03455406,71.09374995,40.52287577,85,57.53424659,81.02189774,,,,,74.405389,,48.38171801,,2131.58,27.28323577,29.05,33.05,24.82,22.78,8.8,48.5,540.6204762,115.8760296
2006-08-01,2006,8,70.12396565,69.99999994,46.1538461,85.3658536,61.31386862,87.78625954,,,,,73.82511357,,48.41135194,,2206.37,26.63961018,27.92,32.8,24.22,22.36,8.5,46.7,538.5272727,116.2236577
