Fecha,IEC Coyuntura
2007-01-01,53.5
2007-02-01,39.3
2007-03-01,108.1
2007-04-01,53.2
2007-05-01,50.1
2007-06-01,41.3
2007-07-01,53.8
2007-08-01,110.2
2007-09-01,107.2
2007-10-01,67.5
2007-11-01,70.4
2007-12-01,93.5
2008-01-01,144.9
2008-02-01,82.7
2008-03-01,113.7
2008-04-01,80
2008-05-01,71.2
2008-06-01,81.9
2008-07-01,81
2008-08-01,84.7
2008-09-01,165.7
2008-10-01,207.1
2008-11-01,136.5
2008-12-01,110.4
2009-01-01,107.4
2009-02-01,140.9
2009-03-01,124.4
2009-04-01,79.5
2009-05-01,88.7
2009-06-01,72.3
2009-07-01,58.4
2009-08-01,61.2
2009-09-01,60.8
2009-10-01,57.6
2009-11-01,56.1
2009-12-01,45.7
2010-01-01,53.8
2010-02-01,55
2010-03-01,49.7
2010-04-01,67.7
2010-05-01,98.9
2010-06-01,88.8
2010-07-01,54.7
2010-08-01,69.4
2010-09-01,57.6
2010-10-01,66.5
2010-11-01,63.1
2010-12-01,56.2
2011-01-01,49
2011-02-01,69.4
2011-03-01,74.1
2011-04-01,85.3
2011-05-01,55.9
2011-06-01,102
2011-07-01,109
2011-08-01,151.5
2011-09-01,123.1
2011-10-01,116.9
2011-11-01,122
2011-12-01,126.3
2012-01-01,91.6
2012-02-01,82.8
2012-03-01,88.7
2012-04-01,91
2012-05-01,106.8
2012-06-01,136.6
2012-07-01,88.3
2012-08-01,92
2012-09-01,104.7
2012-10-01,69
2012-11-01,102.3
2012-12-01,117.9
2013-01-01,98.2
2013-02-01,93.6
2013-03-01,65.9
2013-04-01,72.8
2013-05-01,64
2013-06-01,133
2013-07-01,104.3
2013-08-01,72.5
2013-09-01,69.6
2013-10-01,118.2
2013-11-01,92.6
2013-12-01,98.4
2014-01-01,100.4
2014-02-01,89
2014-03-01,139.6
2014-04-01,83.9
2014-05-01,93.8
2014-06-01,109.3
2014-07-01,128.5
2014-08-01,184.8
2014-09-01,160
2014-10-01,144.4
2014-11-01,149.4
2014-12-01,177.9
2015-01-01,127.3
2015-02-01,95.5
2015-03-01,86.9
2015-04-01,99.6
2015-05-01,151.3
2015-06-01,146.5
2015-07-01,171.7
2015-08-01,190.6
2015-09-01,130.4
2015-10-01,123.4
2015-11-01,101.9
2015-12-01,122.4
2016-01-01,159.7
2016-02-01,153.3
2016-03-01,110.9
2016-04-01,111.8
2016-05-01,133
2016-06-01,195.3
2016-07-01,167.6
2016-08-01,101.7
2016-09-01,84.2
2016-10-01,92
2016-11-01,191.5
2016-12-01,155.1
2017-01-01,157.5
2017-02-01,138.8
2017-03-01,138.7
2017-04-01,111.9
2017-05-01,92.6
2017-06-01,104.4
2017-07-01,109.4
2017-08-01,86.1
2017-09-01,116.2
2017-10-01,116.3
2017-11-01,116.8
2017-12-01,138.7
2018-01-01,97.7
2018-02-01,85.5
2018-03-01,101.8
2018-04-01,96.4
2018-05-01,102.1
2018-06-01,99.1
2018-07-01,153.8
2018-08-01,150.5
2018-09-01,149
2018-10-01,113.4
2018-11-01,151
2018-12-01,173.3
2019-01-01,142
2019-02-01,137.1
2019-03-01,132.1
2019-04-01,159.4
2019-05-01,173.3
2019-06-01,203.3
2019-07-01,162.6
2019-08-01,271.4
2019-09-01,206.2
2019-10-01,220
2019-11-01,376.6
2019-12-01,413.4
2020-01-01,335.7
2020-02-01,347.1
2020-03-01,367.5
2020-04-01,383.7
2020-05-01,334.2
2020-06-01,316.2
2020-07-01,305
2020-08-01,238.4
2020-09-01,238
2020-10-01,269.1
2020-11-01,313.5
2020-12-01,246.3
2021-01-01,329.6
2021-02-01,220.1
