month,year,fuente,sentimiento,response,empresa,texto
.,2011,memoria,positivo,1,banco internacional,"En cuanto a las colocaciones, estas alcanzaron
una cifra de $751 mil millones, lo que implica un
aumento de 15% respecto al año 2010, mientras
que la base de clientes aumentó en un 60%. Lo
anterior obedece a la consolidación y exitoso
funcionamiento de la Banca de Personas y el
desarrollo de la Banca de Empresas.
La Banca de Personas, en su primer año desde
que fue implementada, registró un incremento
de 76,7% en su base de clientes, con 2.263
cuentas corrientes en operación.
El crecimiento experimentado por el Banco tiene
su base en el fortalecimiento permanente de
su base patrimonial. Refl ejo de ello es el índice
de Basilea, que alcanzó 11,76%, porcentaje
ligeramente mayor al 11,05% del ejercicio
anterior.
Esta constante mejora en los indicadores de
solvencia obedece al compromiso de los
accionistas del Banco. En 2011 se capitalizó el
100% de las utilidades del ejercicio anterior
realizando además aportes adicionales por MM$
2.500, lo que signifi có que la base de capital y
reservas aumentara en un 24%."
.,2009,memoria,negativo,0,bci,"En el año 2009 el mundo enfrentó una crisis financiera de inusitadas proporciones,
cuyas causas se venían incubando desde bastante antes, como lo habían
advertido las autoridades fiscalizadoras de Estados Unidos de América. Como
expresé en mi informe al cierre del año 2008, los hechos que provocaron esta
grave situación económica fueron el desmedido financiamiento inmobiliario
y la descontrolada extensión de las transacciones financieras derivadas,
que condujeron a que en ese año aumentaran fuertemente las restricciones
crediticias, la falta de liquidez bancaria y la incertidumbre económica.
Los efectos económicos de esta crisis se hicieron sentir con gran fuerza en
todo el mundo a partir del segundo semestre de 2008 y especialmente en el
primer trimestre de 2009, en que los mercados financieros internacionales
estuvieron al borde del colapso y la economía de muchos países comenzó a
sufrir una grave recesión.
En Chile, los efectos de la crisis no fueron menores y se manifestaron en una
importante disminución del producto interno bruto y en un significativo aumento
del desempleo. Ante esta situación, las autoridades económicas adoptaron
vigorosas medidas de estímulo fiscal y el Banco Central redujo drásticamente
la tasa de interés de política monetaria. Debe reconocerse, eso sí, que la crisis
encontró a nuestro país en una buena posición financiera, debido principalmente
a la acumulación en los fondos soberanos de una parte considerable de los
cuantiosos recursos generados por los altos niveles que alcanzó el precio del
cobre en el trienio 2006-2008 y a una sana política macroeconómica.
Sin embargo, a diciembre de 2009 los activos ponderados por riesgo de la
banca nacional, registraron una disminución de 5,1% con respecto a diciembre
de 2008; hubo un aumento significativo de las provisiones por riesgo de crédito
y una caída importante de los resultados del ejercicio actual.
Como institución intermediaria de servicios financieros, Bci sufrió
los efectos de la crisis, la cual afectó especialmente la calidad de
su cartera de colocaciones. Así, el indicador de riesgo aumentó de
1,32% en diciembre de 2008 a 1,95% en diciembre de 2009, en
tanto que el rubro provisiones y castigos sobre activos riesgosos
de la cuenta de resultados aumentó a $148.225 millones, suma
equivalente a 23,1% del ingreso operacional. Este porcentaje fue
bastante mayor que el de 15,8% que representó ese gasto en el
año 2008.
Debe reconocerse, sí, que para paliar los débiles resultados obtenidos
en los primeros meses de 2009, Bci ocupó parte de las provisiones
adicionales o voluntarias registradas en su patrimonio efectivo. A medida
que los resultados se fueron recuperando, esas provisiones comenzaron a
ser repuestas en el patrimonio, terminando el ejercicio con una utilización
neta de sólo $10.507 millones."
.,2018,memoria,positivo,1,bci,"Es para mí motivo de gran satisfacción compartir con ustedes la Memoria Integrada 2018 de Bci, informe anual que presenta los resultados de una excelente ejecución de nuestros pilares estratégicos. Como muy positivos podemos describir los procesos de integración de TotalBank y Walmart Servicios Financieros, ya que ambos se desarrollaron en línea con nuestra estrategia de diversificación de los ingresos del Banco en mercados que para nosotros son claves: Florida, en Estados Unidos, y la industria de tarjetas de crédito, en Chile. Para concretar estas adquisiciones, entre otras actividades, culminamos un exitoso aumento de capital y avanzamos en las transformaciones que queremos realizar con la aspiración de “ser el banco más querido y preferido” por todos los clientes. Hoy, con el 28,5% de nuestros activos en el exterior, somos claramente una empresa internacional y, considerando el total de activos a nivel consolidado ($41.349.717 millones), nos proyectamos como el mayor banco del sistema financiero chileno. En diciembre, completamos la adquisición de las entidades que formaban parte del negocio financiero de Walmart en Chile, institución que cuenta con más de 1,7 millones de clientes de tarjetas de crédito, lo que nos permitió duplicar nuestra participación en ese mercado en Chile, aumentando sustantivamente la oferta de créditos para este segmento. Esto amplía nuestras oportunidades de negocios y proporciona un importante potencial de crecimiento de ingresos para Bci. En un entorno altamente competitivo, una de las fortalezas más importantes es tener una extensa base de clientes y la capacidad necesaria para administrar los datos, de modo de mejorar la oferta de productos y servicios, estableciendo una relación más personalizada y a la medida de cada uno de los clientes. En esta línea, uno de nuestros principales logros de 2018, alineado con la esencia del Banco desde su fundación, fue el lanzamiento de MACH, que posicionó a Bci como un referente en inclusión financiera en Chile. Esta es la primera aplicación gratuita del país para clientes y no clientes, que permite realizar pagos seguros de persona a persona en menos de 15 segundos y les da acceso a una tarjeta de crédito de prepago internacional. En diciembre, esta aplicación ya era utilizada por casi un millón de usuarios. Durante el año emitimos más de 600.000 tarjetas MACH, que representaron el 42% del número de operaciones internacionales efectuadas con tarjetas de crédito Bci en 2018. En nuestro negocio bancario tradicional observamos un marcado repunte de la economía chilena, apoyado por una mayor confianza empresarial y un escenario externo relativamente favorable, pese a la incertidumbre generada por la guerra comercial entre Estados Unidos y China, en el segundo semestre del año. Este mejor ambiente impulsó las colocaciones locales, que crecieron 11,9% anual. En este contexto, Bci destacó con un incremento de 14,0% en las colocaciones totales –excluidos préstamos interbancarios–, producto del crecimiento en las colocaciones de consumo (31,4%) y en las colocaciones comerciales y para la vivienda (11,2% en ambos casos). Esta tendencia refleja nuestro interés en convertirnos en el banco principal de nuestros clientes en todos los productos y servicios que ofrecemos. Los excelentes resultados de la gestión, tanto en Chile como en Estados Unidos, nos permitieron obtener una utilidad de $395.847 millones en 2018, la tercera mayor del sistema financiero chileno. Las filiales internacionales contribuyeron con el 19,0% de esta utilidad. CNB logró un significativo crecimiento en sus colocaciones, depósitos y utilidad explicado solo en parte por la integración de TotalBank, lo cual nos confirma la efectividad de la estrategia que hemos venido ejecutando desde que lo adquirimos, en 2015. Como base del crecimiento orgánico e inorgánico de los últimos años, hemos fortalecido nuestro compromiso de tener ratios de capital sólidos. Esto fue lo que motivó el aumento de capital del año pasado, el que, recaudando aproximadamente US$ 600 millones, nos permitió cerrar el año con un índice Tier 1 de 10,14%. Quisiera agradecer el compromiso de nuestros accionistas con este incremento de capital. Me gustaría resaltar la solidez de Bci, que fue reconocida con una mejor calificación de FellerRate, pasando del indicador AA+ a AAA en el mercado nacional. El alza de la clasificación reconoce las mejoras en el perfil de riesgo del Banco, su capacidad de generación y la amplia diversificación de actividades de la institución."
.,2012,memoria,positivo,1,bupa chile,"Si tuviera que resumir la gestión 2012 de Cruz
Blanca Salud en una palabra, ésta sería crecimiento.
Seguimos avanzando de acuerdo a nuestra
planificación estratégica, mediante el plan de
inversiones orgánico que potencia fundamentalmente
el área prestadora.
Esto se reflejó en un incremento de 13% en los
ingresos, que ascendieron a $471.327 millones
en el período, y una utilidad de $18.680 millones,
resultados impulsados por la mayor actividad de los
centros ambulatorios de la filial Integramédica y un
aumento de cotizantes en Isapre Cruz Blanca."
.,2013,memoria,positivo,1,bupa chile,"El crecimiento anteriormente mencionado redundó en un incremento de 13% en los ingresos, que ascendieron a $532.049 millones en el período, impulsados por la mayor actividad en las áreas ambulatoria y hospitalaria, y el incremento de cotizantes en Isapre Cruz Blanca. "
.,2013,memoria,negativo,0,bupa chile,"Sin embargo, la utilidad del período fue de $10.327 millones, 42% menos que el año anterior debido a un aumento en la siniestralidad producto de una mayor frecuencia de uso de prestaciones hospitalarias y ambulatorias, y un aumento en el costo y número de licencias médicas, y al efecto de judicialización asociado al escenario regulatorio que se mantuvo en definición. Ante este escenario, hemos redoblado nuestros esfuerzos a nivel de control de costos, desarrollo comercial y de productos para retomar en 2014 la senda de crecimiento en resultados."
.,2014,memoria,positivo,1,bupa chile,"Todo el crecimiento antes mencionado nos permitió cerrar el año con ingresos totales de $591.251 millones, un alza de 11% respecto a 2013. Este resultado se explica principalmente por el aumento registrado en la cartera de cotizantes de la Isapre y por una mayor actividad en el segmento ambulatorio. A su vez, las utilidades de la compañía fueron de $13.813 millones, un incremento de 26% con respecto al período anterior, que responde en gran parte a los mayores ingresos de las áreas aseguradora y prestadora."
.,2015,memoria,negativo,0,bupa chile,"A su vez, las utilidades de la compañía
fueron de $1.780 millones, una
caída con respecto al período
anterior, lo cual responde en gran
parte al aumento en las atenciones
de salud y en las licencias médicas."
.,2015,memoria,positivo,1,bupa chile,"Todo el crecimiento antes
mencionado nos permitió cerrar
el año con ingresos totales de
$657.107 millones, un alza de 11% respecto a 2014. Este resultado
se explica principalmente por el
aumento registrado en la cartera
de cotizantes de la Isapre y por una
mayor actividad en el segmento
ambulatorio y hospitalario. "
.,2016,memoria,positivo,1,bupa chile,"El desempeño antes mencionado permitió a Bupa Chile cerrar el año con ingresos totales de $741.445 millones, un alza de 13% respecto a 2015, mientras que obtuvo una utilidad de $5.845 millones, un crecimiento de más de 228% respecto al período anterior. Un resultado que habría sido imposible de alcanzar sin el esfuerzo y trabajo de los más de 7.000 colaboradores de Bupa Chile, que en su trabajo diario permiten cambiar la vida de las personas. Ellos son los verdaderos héroes que permiten cumplir nuestro propósito de brindar vidas más largas, sanas y felices. "
