Año,Mes,División,Grupo,Clase,Subclase,Producto,Glosa,Ponderación,Índice,Variación Mensual  ( % ),Variación Acumulada   ( % ),Variación 12 Meses   ( % ),Incidencia Mensual   ( % ),Incidencia Acumulada    ( % ),Incidencia 12 Meses    ( % )
2019,1, , , , , ,IPC General, ,100.75,0.1,0.1, , , , 
2019,1,1, , , , ,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,19.30131,100.5,-0.3,-0.3, ,-0.051,-0.051, 
2019,1,2, , , , ,BEBIDAS ALCOHÓLICAS Y TABACO,4.77767,102.07,1.7,1.7, ,0.079,0.079, 
2019,1,3, , , , ,VESTUARIO Y CALZADO,3.50596,98.36,-0.2,-0.2, ,-0.006,-0.006, 
2019,1,4, , , , ,VIVIENDA Y SERVICIOS BÁSICOS,14.8272,101.71,0.3,0.3, ,0.051,0.051, 
2019,1,5, , , , ,EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR,6.52285,100.45,0.6,0.6, ,0.038,0.038, 
2019,1,6, , , , ,SALUD,7.76778,100.89,0.2,0.2, ,0.016,0.016, 
2019,1,7, , , , ,TRANSPORTE,13.12148,100.9,-0.2,-0.2, ,-0.026,-0.026, 
2019,1,8, , , , ,COMUNICACIONES,5.45488,97.59,-0.1,-0.1, ,-0.006,-0.006, 
2019,1,9, , , , ,RECREACIÓN Y CULTURA,6.58912,100.07,-0.8,-0.8, ,-0.05,-0.05, 
2019,1,10, , , , ,EDUCACIÓN,6.59568,100.9,0,0, ,-0.003,-0.003, 
2019,1,11, , , , ,RESTAURANTES Y HOTELES,6.38347,101.96,0.5,0.5, ,0.031,0.031, 
2019,1,12, , , , ,BIENES Y SERVICIOS DIVERSOS,5.1526,101.6,0.7,0.7, ,0.037,0.037, 
2019,1,1,1, , , ,ALIMENTOS,17.13731,100.32,-0.3,-0.3, ,-0.045,-0.045, 
2019,1,2,1, , , ,BEBIDAS ALCOHÓLICAS,2.8708,101.68,1,1, ,0.029,0.029, 
2019,1,3,1, , , ,VESTUARIO,2.30493,98.38,0.1,0.1, ,0.003,0.003, 
2019,1,4,1, , , ,ARRIENDOS EFECTIVOS,5.52872,102.11,0.3,0.3, ,0.019,0.019, 
2019,1,5,1, , , ,MUEBLES Y ACCESORIOS PARA EL HOGAR,1.00617,99.5,-0.4,-0.4, ,-0.004,-0.004, 
2019,1,6,1, , , ,"PRODUCTOS, ARTEFACTOS Y EQUIPOS MÉDICOS",2.89864,100.72,-0.2,-0.2, ,-0.005,-0.005, 
2019,1,7,1, , , ,ADQUISICIÓN DE VEHÍCULOS,3.25706,99.41,0.8,0.8, ,0.025,0.025, 
2019,1,8,1, , , ,EQUIPOS  TELEFÓNICOS,0.61378,94.82,-1,-1, ,-0.006,-0.006, 
2019,1,9,1, , , ,"EQUIPO AUDIOVISUAL, FOTOGRÁFICO Y DE PROCESAMIENTO INFORMÁTICO",1.06133,95.8,1.3,1.3, ,0.013,0.013, 
2019,1,10,1, , , ,ENSEÑANZA PRE-ESCOLAR Y ENSEÑANZA BÁSICA (PRIMARIA),1.72331,100.61,0,0, ,0,0, 
2019,1,11,1, , , ,SERVICIOS SUMINISTRADOS POR RESTAURANTES Y HOTELES,5.86871,102.1,0.4,0.4, ,0.025,0.025, 
2019,1,12,1, , , ,CUIDADO PERSONAL,2.78308,101.34,0.8,0.8, ,0.022,0.022, 
2019,1,1,2, , , ,BEBIDAS NO ALCOHÓLICAS,2.164,101.93,-0.3,-0.3, ,-0.007,-0.007, 
2019,1,2,2, , , ,TABACO,1.90687,102.67,2.7,2.7, ,0.051,0.051, 
2019,1,3,2, , , ,CALZADO,1.20103,98.32,-0.8,-0.8, ,-0.009,-0.009, 
2019,1,4,2, , , ,CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA,1.71195,103.46,0.4,0.4, ,0.007,0.007, 
2019,1,5,2, , , ,TEXTILES PARA EL HOGAR,0.26025,96.47,1.5,1.5, ,0.004,0.004, 
2019,1,6,2, , , ,SERVICIOS PARA PACIENTES EXTERNOS,3.89758,100.86,0.3,0.3, ,0.013,0.013, 
2019,1,7,2, , , ,FUNCIONAMIENTO DE VEHÍCULOS DE TRANSPORTE PERSONAL,5.54238,100.68,-1.2,-1.2, ,-0.066,-0.066, 
2019,1,8,2, , , ,SERVICIOS DE TELECOMUNICACIONES,4.8411,97.95,0,0, ,0,0, 
2019,1,9,2, , , ,"OTROS EQUIPOS Y ARTÍCULOS PARA LA RECREACIÓN, FLORES, JARDINERÍA Y MASCOTAS",1.87182,100.82,0.6,0.6, ,0.011,0.011, 
2019,1,10,2, , , ,ENSEÑANZA MEDIA (SECUNDARIA),0.64279,100.44,0,0, ,0,0, 
2019,1,11,2, , , ,SERVICIOS DE ALOJAMIENTO,0.51476,100.41,1.2,1.2, ,0.006,0.006, 
2019,1,12,2, , , ,OTROS ARTÍCULOS PERSONALES,0.61879,99.42,1,1, ,0.006,0.006, 
2019,1,4,3, , , ,SUMINISTROS DE AGUA Y SERVICIOS DIVERSOS RELACIONADOS CON LA VIVIENDA,3.19834,103.94,1.6,1.6, ,0.052,0.052, 
2019,1,5,3, , , ,ARTEFACTOS PARA EL HOGAR,0.86579,100.06,1.2,1.2, ,0.011,0.011, 
2019,1,6,3, , , ,SERVICIOS DE HOSPITAL,0.97156,101.51,0.9,0.9, ,0.008,0.008, 
2019,1,7,3, , , ,SERVICIOS DE TRANSPORTE,4.32204,102.31,0.4,0.4, ,0.015,0.015, 
2019,1,9,3, , , ,SERVICIOS DE RECREACIÓN Y CULTURA,2.07283,100.42,-0.2,-0.2, ,-0.005,-0.005, 
2019,1,10,3, , , ,ENSEÑANZA POSTSECUNDARIA NO TERCIARIA,0.16925,100.19,0,0, ,0,0, 
2019,1,12,3, , , ,SEGUROS,0.61603,103.73,0.3,0.3, ,0.002,0.002, 
2019,1,4,4, , , ,"ELECTRICIDAD, GAS Y OTROS COMBUSTIBLES",4.38819,98.88,-0.6,-0.6, ,-0.027,-0.027, 
2019,1,5,4, , , ,"ARTÍCULOS DE VIDRIO Y CRISTAL, VAJILLA Y UTENSILIOS PARA EL HOGAR",0.28175,101.24,1.5,1.5, ,0.004,0.004, 
